ru,data,refeicao,id_preparacao,tipo_preparacao,preparacao,temperatura_c,temperatura_valida,temperatura_plausivel,classe_termica,limite_referencia,status_temperatura
P1,2026-01-08,Jantar,5,Arroz/Baião,Baião,77.5,True,True,quente,> 60°C,CONFORME
P1,2026-01-08,Jantar,2,Arroz Integral,Arroz Integral,74.4,True,True,quente,> 60°C,CONFORME
P1,2026-01-08,Jantar,22,Feijão,Feijão Carioca,75.1,True,True,quente,> 60°C,CONFORME
P1,2026-01-08,Jantar,37,Guarnição,Farofa,45.6,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-08,Jantar,143,Salada,Vinagrete,16.4,True,True,fria,< 10°C,NAO_CONFORME
P1,2026-01-08,Jantar,147,Sobremesa,Laranja,,False,False,,,SEM_MEDICAO
P1,2026-01-08,Jantar,157,Suco,Goiaba,9.8,True,True,fria,< 10°C,CONFORME
P1,2026-01-08,Jantar,166,Suco SA,Goiaba,12.2,True,True,fria,< 10°C,NAO_CONFORME
P1,2026-01-09,Almoço,115,PV,Dobradinha,72.3,True,True,quente,> 60°C,CONFORME
P1,2026-01-09,Almoço,68,PB,Isca de Frango Acebolado,58.4,True,True,quente,> 60°C,NAO_CONFORME
P1,2026-01-09,Almoço,197,VEG,Maria Isabel Vegana,61.0,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-09,Almoço,4,Arroz/Baião,Arroz Branco,68.6,True,True,quente,> 60°C,CONFORME
P1,2026-01-09,Almoço,2,Arroz Integral,Arroz Integral,69.1,True,True,quente,> 60°C,CONFORME
P1,2026-01-09,Almoço,22,Feijão,Feijão Carioca,76.1,True,True,quente,> 60°C,CONFORME
P1,2026-01-09,Almoço,36,Guarnição,Cuscuz,60.9,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-09,Almoço,142,Salada,Salada Crua,12.4,True,True,fria,< 10°C,NAO_CONFORME
P1,2026-01-09,Almoço,148,Sobremesa,Maçã,,False,False,,,SEM_MEDICAO
P1,2026-01-09,Almoço,159,Suco,Manga,5.5,True,True,fria,< 10°C,CONFORME
P1,2026-01-09,Almoço,168,Suco SA,Manga,11.3,True,True,fria,< 10°C,NAO_CONFORME
P1,2026-01-09,Jantar,117,PV,Escondidinho de Carne,66.5,True,True,quente,> 60°C,CONFORME
P1,2026-01-09,Jantar,84,PB,Sobrecoxa Desossada,65.9,True,True,quente,> 60°C,CONFORME
P1,2026-01-09,Jantar,180,VEG,Bolinho de Ervilha com Aveia,55.3,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-09,Jantar,4,Arroz/Baião,Arroz Branco,79.9,True,True,quente,> 60°C,CONFORME
P1,2026-01-09,Jantar,2,Arroz Integral,Arroz Integral,76.5,True,True,quente,> 60°C,CONFORME
P1,2026-01-09,Jantar,23,Feijão,Feijão de Corda,72.3,True,True,quente,> 60°C,CONFORME
P1,2026-01-09,Jantar,38,Guarnição,Farofa Branca com Soja,44.3,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-09,Jantar,142,Salada,Salada Crua,17.5,True,True,fria,< 10°C,NAO_CONFORME
P1,2026-01-09,Jantar,152,Sobremesa,Tangerina,,False,False,,,SEM_MEDICAO
P1,2026-01-09,Jantar,158,Suco,Graviola,8.5,True,True,fria,< 10°C,CONFORME
P1,2026-01-09,Jantar,167,Suco SA,Graviola,11.1,True,True,fria,< 10°C,NAO_CONFORME
P1,2026-01-12,Almoço,130,PV,Picadinho com Legumes,78.1,True,True,quente,> 60°C,CONFORME
P1,2026-01-12,Almoço,81,PB,Sobrecoxa Assada,57.2,True,True,quente,> 60°C,NAO_CONFORME
P1,2026-01-12,Almoço,183,VEG,Curry de lentilha,65.1,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-12,Almoço,4,Arroz/Baião,Arroz Branco,70.1,True,True,quente,> 60°C,CONFORME
P1,2026-01-12,Almoço,2,Arroz Integral,Arroz Integral,63.8,True,True,quente,> 60°C,CONFORME
P1,2026-01-12,Almoço,22,Feijão,Feijão Carioca,73.7,True,True,quente,> 60°C,CONFORME
P1,2026-01-12,Almoço,37,Guarnição,Farofa,50.8,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-12,Almoço,142,Salada,Salada Crua,11.0,True,True,fria,< 10°C,NAO_CONFORME
P1,2026-01-12,Almoço,146,Sobremesa,Banana,,False,False,,,SEM_MEDICAO
P1,2026-01-12,Almoço,159,Suco,Manga,8.9,True,True,fria,< 10°C,CONFORME
P1,2026-01-12,Almoço,168,Suco SA,Manga,13.9,True,True,fria,< 10°C,NAO_CONFORME
P1,2026-01-12,Jantar,123,PV,Isca de Carne ao M. Tomate,77.2,True,True,quente,> 60°C,CONFORME
P1,2026-01-12,Jantar,61,PB,Cubos de Frango com Ervas,75.3,True,True,quente,> 60°C,CONFORME
P1,2026-01-12,Jantar,205,VEG,Salpicão vegano,58.0,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-12,Jantar,4,Arroz/Baião,Arroz Branco,72.9,True,True,quente,> 60°C,CONFORME
P1,2026-01-12,Jantar,2,Arroz Integral,Arroz Integral,80.3,True,True,quente,> 60°C,CONFORME
P1,2026-01-12,Jantar,23,Feijão,Feijão de Corda,74.1,True,True,quente,> 60°C,CONFORME
P1,2026-01-12,Jantar,44,Guarnição,Purê,81.5,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-12,Jantar,142,Salada,Salada Crua,19.5,True,True,fria,< 10°C,NAO_CONFORME
P1,2026-01-12,Jantar,145,Sobremesa,Abacaxi,24.7,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-12,Jantar,154,Suco,Acerola,11.8,True,True,fria,< 10°C,NAO_CONFORME
P1,2026-01-12,Jantar,163,Suco SA,Acerola,13.1,True,True,fria,< 10°C,NAO_CONFORME
P1,2026-01-13,Almoço,108,PV,Cubo suíno acebolado,70.2,True,True,quente,> 60°C,CONFORME
P1,2026-01-13,Almoço,51,PB,Creme de Frango,75.3,True,True,quente,> 60°C,CONFORME
P1,2026-01-13,Almoço,201,VEG,Refogado de Lentilha,59.2,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-13,Almoço,5,Arroz/Baião,Baião,66.3,True,True,quente,> 60°C,CONFORME
P1,2026-01-13,Almoço,2,Arroz Integral,Arroz Integral,73.4,True,True,quente,> 60°C,CONFORME
P1,2026-01-13,Almoço,23,Feijão,Feijão de Corda,68.3,True,True,quente,> 60°C,CONFORME
P1,2026-01-13,Almoço,43,Guarnição,Macaxeira Refogada,53.9,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-13,Almoço,142,Salada,Salada Crua,17.8,True,True,fria,< 10°C,NAO_CONFORME
P1,2026-01-13,Almoço,149,Sobremesa,Melancia,22.7,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-13,Almoço,161,Suco,Tamarindo,7.1,True,True,fria,< 10°C,CONFORME
P1,2026-01-13,Almoço,170,Suco SA,Tamarindo,8.5,True,True,fria,< 10°C,CONFORME
P1,2026-01-13,Jantar,100,PV,Carne Moída à Bolonhesa,70.1,True,True,quente,> 60°C,CONFORME
P1,2026-01-13,Jantar,84,PB,Sobrecoxa Desossada,64.1,True,True,quente,> 60°C,CONFORME
P1,2026-01-13,Jantar,190,VEG,Hambúrguer de Soja,59.1,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-13,Jantar,4,Arroz/Baião,Arroz Branco,76.1,True,True,quente,> 60°C,CONFORME
P1,2026-01-13,Jantar,2,Arroz Integral,Arroz Integral,76.6,True,True,quente,> 60°C,CONFORME
P1,2026-01-13,Jantar,22,Feijão,Feijão Carioca,78.1,True,True,quente,> 60°C,CONFORME
P1,2026-01-13,Jantar,40,Guarnição,Macarrão,37.2,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-13,Jantar,142,Salada,Salada Crua,15.4,True,True,fria,< 10°C,NAO_CONFORME
P1,2026-01-13,Jantar,148,Sobremesa,Maçã,,False,False,,,SEM_MEDICAO
P1,2026-01-13,Jantar,155,Suco,Caju,13.2,True,True,fria,< 10°C,NAO_CONFORME
P1,2026-01-13,Jantar,164,Suco SA,Caju,13.4,True,True,fria,< 10°C,NAO_CONFORME
P1,2026-01-14,Almoço,119,PV,Feijoada,80.2,True,True,quente,> 60°C,CONFORME
P1,2026-01-14,Almoço,91,PB,Sobrecoxa com Gergelim,49.9,True,True,quente,> 60°C,NAO_CONFORME
P1,2026-01-14,Almoço,198,VEG,Moqueca Vegetariana,74.9,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-14,Almoço,4,Arroz/Baião,Arroz Branco,70.3,True,True,quente,> 60°C,CONFORME
P1,2026-01-14,Almoço,2,Arroz Integral,Arroz Integral,74.9,True,True,quente,> 60°C,CONFORME
P1,2026-01-14,Almoço,22,Feijão,Feijão Carioca,70.8,True,True,quente,> 60°C,CONFORME
P1,2026-01-14,Almoço,38,Guarnição,Farofa Branca com Soja,39.3,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-14,Almoço,142,Salada,Salada Crua,,False,False,fria,< 10°C,SEM_MEDICAO
P1,2026-01-14,Almoço,147,Sobremesa,Laranja,,False,False,,,SEM_MEDICAO
P1,2026-01-14,Almoço,154,Suco,Acerola,12.9,True,True,fria,< 10°C,NAO_CONFORME
P1,2026-01-14,Almoço,163,Suco SA,Acerola,6.7,True,True,fria,< 10°C,CONFORME
P1,2026-01-14,Jantar,133,PV,Suíno ao M. Escuro,82.4,True,True,quente,> 60°C,CONFORME
P1,2026-01-14,Jantar,68,PB,Isca de Frango Acebolado,66.4,True,True,quente,> 60°C,CONFORME
P1,2026-01-14,Jantar,199,VEG,Panqueca Vegana ao Molho Branco,66.8,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-14,Jantar,4,Arroz/Baião,Arroz Branco,74.9,True,True,quente,> 60°C,CONFORME
P1,2026-01-14,Jantar,2,Arroz Integral,Arroz Integral,67.9,True,True,quente,> 60°C,CONFORME
P1,2026-01-14,Jantar,23,Feijão,Feijão de Corda,74.7,True,True,quente,> 60°C,CONFORME
P1,2026-01-14,Jantar,36,Guarnição,Cuscuz,64.1,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-14,Jantar,141,Salada,Salada Cozida,65.1,True,True,fria,< 10°C,NAO_CONFORME
P1,2026-01-14,Jantar,150,Sobremesa,Melão Espanhol,20.1,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-14,Jantar,160,Suco,Seriguela,16.1,True,True,fria,< 10°C,NAO_CONFORME
P1,2026-01-14,Jantar,169,Suco SA,Seriguela,15.6,True,True,fria,< 10°C,NAO_CONFORME
P1,2026-01-15,Almoço,97,PV,Carne Moída Refogada,67.3,True,True,quente,> 60°C,CONFORME
P1,2026-01-15,Almoço,54,PB,Cubos de Frango ao M. Tropical ,54.7,True,True,quente,> 60°C,NAO_CONFORME
P1,2026-01-15,Almoço,207,VEG,Soja Tropical,58.1,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-15,Almoço,4,Arroz/Baião,Arroz Branco,,False,False,quente,> 60°C,SEM_MEDICAO
P1,2026-01-15,Almoço,2,Arroz Integral,Arroz Integral,73.8,True,True,quente,> 60°C,CONFORME
P1,2026-01-15,Almoço,23,Feijão,Feijão de Corda,63.5,True,True,quente,> 60°C,CONFORME
P1,2026-01-15,Almoço,40,Guarnição,Macarrão,42.2,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-15,Almoço,142,Salada,Salada Crua,12.7,True,True,fria,< 10°C,NAO_CONFORME
P1,2026-01-15,Almoço,150,Sobremesa,Melão Espanhol,18.2,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-15,Almoço,155,Suco,Caju,5.9,True,True,fria,< 10°C,CONFORME
P1,2026-01-15,Almoço,164,Suco SA,Caju,7.7,True,True,fria,< 10°C,CONFORME
P1,2026-01-15,Jantar,109,PV,Cubos Carne ao M. Madeira,77.3,True,True,quente,> 60°C,CONFORME
P1,2026-01-15,Jantar,79,PB,Peixe à Delícia,50.7,True,True,quente,> 60°C,NAO_CONFORME
P1,2026-01-15,Jantar,210,VEG,Suflê de Legumes,68.2,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-15,Jantar,5,Arroz/Baião,Baião,83.8,True,True,quente,> 60°C,CONFORME
P1,2026-01-15,Jantar,2,Arroz Integral,Arroz Integral,83.2,True,True,quente,> 60°C,CONFORME
P1,2026-01-15,Jantar,22,Feijão,Feijão Carioca,73.0,True,True,quente,> 60°C,CONFORME
P1,2026-01-15,Jantar,37,Guarnição,Farofa,40.9,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-15,Jantar,143,Salada,Vinagrete,16.0,True,True,fria,< 10°C,NAO_CONFORME
P1,2026-01-15,Jantar,147,Sobremesa,Laranja,,False,False,,,SEM_MEDICAO
P1,2026-01-15,Jantar,157,Suco,Goiaba,9.3,True,True,fria,< 10°C,CONFORME
P1,2026-01-15,Jantar,166,Suco SA,Goiaba,10.7,True,True,fria,< 10°C,NAO_CONFORME
P1,2026-01-16,Almoço,101,PV,Carne de Sol Acebolada,65.8,True,True,quente,> 60°C,CONFORME
P1,2026-01-16,Almoço,81,PB,Sobrecoxa Assada,65.5,True,True,quente,> 60°C,CONFORME
P1,2026-01-16,Almoço,175,VEG,Assado de Grão de Bico com Legumes,67.0,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-16,Almoço,4,Arroz/Baião,Arroz Branco,72.4,True,True,quente,> 60°C,CONFORME
P1,2026-01-16,Almoço,2,Arroz Integral,Arroz Integral,71.1,True,True,quente,> 60°C,CONFORME
P1,2026-01-16,Almoço,22,Feijão,Feijão Carioca,70.5,True,True,quente,> 60°C,CONFORME
P1,2026-01-16,Almoço,36,Guarnição,Cuscuz,64.2,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-16,Almoço,142,Salada,Salada Crua,16.7,True,True,fria,< 10°C,NAO_CONFORME
P1,2026-01-16,Almoço,148,Sobremesa,Maçã,,False,False,,,SEM_MEDICAO
P1,2026-01-16,Almoço,158,Suco,Graviola,7.8,True,True,fria,< 10°C,CONFORME
P1,2026-01-16,Almoço,167,Suco SA,Graviola,13.9,True,True,fria,< 10°C,NAO_CONFORME
P1,2026-01-16,Jantar,136,PV,Torta de Calabresa,62.2,True,True,quente,> 60°C,CONFORME
P1,2026-01-16,Jantar,53,PB,Cubos de Frango ao M. Escuro,65.7,True,True,quente,> 60°C,CONFORME
P1,2026-01-16,Jantar,211,VEG,Torta de Legumes,72.2,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-16,Jantar,4,Arroz/Baião,Arroz Branco,81.1,True,True,quente,> 60°C,CONFORME
P1,2026-01-16,Jantar,2,Arroz Integral,Arroz Integral,75.3,True,True,quente,> 60°C,CONFORME
P1,2026-01-16,Jantar,23,Feijão,Feijão de Corda,71.5,True,True,quente,> 60°C,CONFORME
P1,2026-01-16,Jantar,35,Guarnição,Batata Souté,72.6,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-16,Jantar,142,Salada,Salada Crua,14.5,True,True,fria,< 10°C,NAO_CONFORME
P1,2026-01-16,Jantar,146,Sobremesa,Banana,,False,False,,,SEM_MEDICAO
P1,2026-01-16,Jantar,156,Suco,Cajá,17.7,True,True,fria,< 10°C,NAO_CONFORME
P1,2026-01-16,Jantar,165,Suco SA,Cajá,13.7,True,True,fria,< 10°C,NAO_CONFORME
P1,2026-01-19,Almoço,104,PV,Cozido Nordestino,78.1,True,True,quente,> 60°C,CONFORME
P1,2026-01-19,Almoço,68,PB,Isca de Frango Acebolado,58.3,True,True,quente,> 60°C,NAO_CONFORME
P1,2026-01-19,Almoço,206,VEG,Soja Nordestina,75.4,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-19,Almoço,4,Arroz/Baião,Arroz Branco,69.2,True,True,quente,> 60°C,CONFORME
P1,2026-01-19,Almoço,2,Arroz Integral,Arroz Integral,76.8,True,True,quente,> 60°C,CONFORME
P1,2026-01-19,Almoço,22,Feijão,Feijão Carioca,67.5,True,True,quente,> 60°C,CONFORME
P1,2026-01-19,Almoço,37,Guarnição,Farofa,39.1,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-19,Almoço,142,Salada,Salada Crua,14.4,True,True,fria,< 10°C,NAO_CONFORME
P1,2026-01-19,Almoço,146,Sobremesa,Banana,,False,False,,,SEM_MEDICAO
P1,2026-01-19,Almoço,159,Suco,Manga,11.6,True,True,fria,< 10°C,NAO_CONFORME
P1,2026-01-19,Almoço,168,Suco SA,Manga,8.9,True,True,fria,< 10°C,CONFORME
P1,2026-01-19,Jantar,121,PV,Isca de Carne Acebolada,63.4,True,True,quente,> 60°C,CONFORME
P1,2026-01-19,Jantar,88,PB,Sobrecoxa ao M. de Ervas,70.1,True,True,quente,> 60°C,CONFORME
P1,2026-01-19,Jantar,203,VEG,Rocambole de Grão de Bico,68.1,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-19,Jantar,4,Arroz/Baião,Arroz Branco,78.6,True,True,quente,> 60°C,CONFORME
P1,2026-01-19,Jantar,2,Arroz Integral,Arroz Integral,83.0,True,True,quente,> 60°C,CONFORME
P1,2026-01-19,Jantar,23,Feijão,Feijão de Corda,67.7,True,True,quente,> 60°C,CONFORME
P1,2026-01-19,Jantar,36,Guarnição,Cuscuz,64.4,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-19,Jantar,142,Salada,Salada Crua,18.3,True,True,fria,< 10°C,NAO_CONFORME
P1,2026-01-19,Jantar,145,Sobremesa,Abacaxi,17.7,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-19,Jantar,161,Suco,Tamarindo,15.7,True,True,fria,< 10°C,NAO_CONFORME
P1,2026-01-19,Jantar,170,Suco SA,Tamarindo,14.6,True,True,fria,< 10°C,NAO_CONFORME
P1,2026-01-20,Almoço,111,PV,Cubos Suíno ao molho barbecue,71.4,True,True,quente,> 60°C,CONFORME
P1,2026-01-20,Almoço,92,PB,Vatapá de Frango,73.2,True,True,quente,> 60°C,CONFORME
P1,2026-01-20,Almoço,191,VEG,Jardineira de Lentilha,64.1,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-20,Almoço,5,Arroz/Baião,Baião,70.9,True,True,quente,> 60°C,CONFORME
P1,2026-01-20,Almoço,2,Arroz Integral,Arroz Integral,71.4,True,True,quente,> 60°C,CONFORME
P1,2026-01-20,Almoço,23,Feijão,Feijão de Corda,72.0,True,True,quente,> 60°C,CONFORME
P1,2026-01-20,Almoço,36,Guarnição,Cuscuz,60.4,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-20,Almoço,142,Salada,Salada Crua,17.0,True,True,fria,< 10°C,NAO_CONFORME
P1,2026-01-20,Almoço,149,Sobremesa,Melancia,13.1,True,True,,,SEM_CLASSIFICACAO
P1,2026-01-20,Almoço,160,Suco,Seriguela,,False,False,fria,< 10°C,SEM_MEDICAO
